Version,Title,glottocode,Year,rhotics,transcription_phon,quality_trans,quality_ling_trans,new_symbols_narr,new_symbol_comment,phoneme,phonetic,phonemic,tap_pt,tap_pm,total_rhotics,Obs_REVIEW,r_present_in_ortho,orthography_comments,observations,obs2
N,Lizu,lizu1234,2013,voiced approximant alveolar  & voice and voiceless alveopalatal,ʑ  ɹ,Semi-narrow phonetic transcription,phonetic,,,ɹ & ɕ & ʑ,0,NA,0,NA,6,,NA,Might be chinese based orthography,The voiced velar fricative has a uvular allophone occurring before /ɐ/ and /wɐ/_ e.g. / ɣɐ/ [ ʁɐ] ‘needle’_ / ɣwɐ/ [ ʁuɐ] ‘to thunder’.,
N,Luanyjang Dinka,dink1262,2009,voiced alveolar trill ,r,Dinka orthography & Phonemic transcription,phonemic,,,r,NA,18,NA,0,18,,1,normal usage of r,The other consonants may also be underarticulated in the same context – that is_ the nasals_ /l/_ and /r/ can be very short before a phrase boundary_ to the point that their presence is to be inferred mainly from their effect on the formant transitions in the preceding vowel.,may be a tap 
N,Lusoga (Lutenga),teng1265,2016,voiced lateral flap & voiced labialised lateral flap & voiced palatalised lateral flap   (ɾ l),ɺ  ɺʷ  ,Orthographic version & Phonetic transcription,phonetic,,, ɺ  &  ɺʷ  &  ɺʲ,0,NA,0,NA,35,,0,they use the L instead of the R in the orthography,Lusoga has no trills_ but it has an alveolar lateral flap in words like: [ŋːwáɺi] ‘crested crane’_ [ɔ̀múwùːɺù ] ‘umarried man’_ [ɛ̀ːmpwiɡùɺú] ‘owl’ and [ɛ̂IBàːɺɛ̀] ‘stone’. The speaker who has read the words for this Illustration displayed significant variability in the pronunciation of the lateral flap. Sometimes it is realized as an alveolar tap as in [ɛiciBiɾiːti] ‘matchbox’_ [ɛ̂ IBɛ̀ːɾɛ̀] ‘breast’ and [ɛ̌ːziɾɔ̀] ‘soot’. In other instances_ it appears as an alveolar lateral approximant: [ɛ̂Idwâːlilɔ̀] ‘hospital’_ [ɔ̀kùlɔ̀Bà] ‘to refuse’. Alveolar lateral flaps are rare in languages of the world: UPSID lists nine languages (2%) with this sound. One of the better-known examples is Japanese (Okada 1991). In Lusoga_ the alveolar lateral flap occurs contrastively with a labialized flap: [ɔ̀kùɺwà] ‘to be late’ vs. [ɔ́kùɺà] ‘you grow up’_ [ɛ̀ciɡɛ̂ːnɛ̀ɺɛ̀ɺwà] ‘aim_ goal’ vs. [ɛ̀ciɡɛ̂ːndɛ̀ɺɛ̀ɺà] ‘is intended’. In addition_ it contrasts with a palatalized flap_ e.g. [ɔ̀kùɺjá] ‘to eat’ vs. [ɔ́kùɺà] ‘you grow up’_ [ɛ̂Iɺjà] ‘marriage’ vs. [ɛ̂Iɺà] ‘later’.,
N,Luxembourgish,luxe1243,2013,voiced uvular trill & voice and voiceless uvular fricative & voice and voiceless alveopalatal fricative,χ ɕ ʀ ʑ,Luxembourgish orthography & Broad phonetic transcription,phonetic,,,ʀ & χ & ʁ & ʑ & ɕ,0,NA,0,NA,35,i assume that the r in the count of r in the orthographic transcription is the same as the phonemic one,1,one and two r seem possible,[ɡ] is found only word-initially and banned in all other positions_ where the successors of historical [ɡ] are realized as fricatives [ɕ ʑ X ʁ] or have disappeared. \\ The main variant of /r/ in pre-vocalic position is the trill [ʀ]_ the lesser used variant is the fricative [ʁ]. Older speakers pronounce [ʀ] or [ʁ] also word-finally (Bir [biːʀ] ‘pear’) whereas younger speakers often show r-vocalization and produce central [ə] or [ɐ] instead ([biːə] for Bir). Between short vowels and consonants /r/ is spirantized_ either to a voiced [ʁ] as in Parmesan [ˈpɑʁməzaːn] ‘Parmesan cheese’ or to an unvoiced [X] as in parken [ˈpɑXkən] ‘to park’. Thus_ whether /r/ shows up here as voiced or unvoiced fricative depends on the voicing feature of the following consonant.,Among the fricatives_ [X] and [ɕ] are allophones of one single phoneme /X/. The same holds for their voiced counterparts [ʁ] and [ʑ] with the latter allophone appearing only in a few words_ however. The selection of the allophone is determined_ as in German_ by the preceding context ([X ʁ] after phonologically back vowels_ [ɕ ʑ] elsewhere). An increasing number of speakers no longer distinguish between the alveolo-palatal and the post-alveolar fricatives_ i.e. between [ʃ] and [ɕ] on the one hand and between [ʒ] and [ʑ] on the other. The progression of the sound change may eventually lead to a phoneme merger thus reducing the number of the fricatives.
N,Lyonnais (Francoprovençal),lyon1243,2015,voiced fricative uvular,ʁ,"Phonetic transcription
& Orthographic transcription ",phonetic,,,ʁ,0,NA,0,NA,23,,1,same use as in french (some r might be for the sound [e] when its er)_ some double rr,,
N,Mah Meri,besi1244,2009,voiced tap alveolar ɾ ɹ  r & voiced velar approximant,r,Transcription of a recorded passage (phonemic),phonemic,,,ɾ & ɰ,NA,10,NA,0,10,mention of the tap as the phoneme before the phonemic narrative but in the narrative its a trill,NA,it is said no written tradition,/ɾ/ in the onset of the syllable varies from a tap [ɾ] to a light trill [r] to an alveolar approximant [ɹ]. For some speakers_ when intervocalic_ it occurs in free variation with the velar approximant /ɰ/ : /sɔrɔk/ [sɔɾɔʔk] ∼ [sɔɰɔʔk] ‘to be tall’. In rare syllable-final position_ /r/ is a strident trill (not specifically marked here)_ e.g. /jər/ [jər] ‘goose bumps’.,
N,Makasar,maka1311,2016,liquid trill alveolar (voiced),r (not geminate),Orthography & Phonemic transcription,phonemic,,,r,NA,20,NA,0,20,no double r in the narrative,1,one and two r are possible,r can be lenghtened (may be a contrast between tap and trill since it is phonemic),77ms for singleton trill and 192ms for geminate trill
N,Malayalam (Namboodiri Dialect),namb1289,2017,voiced alveolar trill & voiced alveolar tap or flap & voiced approximant labiodental & voiced approximant retroflex & voiceless laminopostalveolar fricative,ʋ ɕ r ɾ ɻ,Broad phonemic transcription & Orthographic version,phonemic,,,r & ɾ & ʋ & ɻ & ɕ,NA,6,NA,9,15,i count both trill in tap in the total of rhotics,NA,malayalam writting system,Aside from the seven nasals_ there are five liquids in Malayalam (Punnoose_ Khattab & Al-Tamini 2013_ Scobbie_ Punnoose & Khattab 2013): /ɾ r l ɭ ɻ/. Punnoose et al. (2013) distinguish the liquids by place_ manner_ as well as quality: /ɾ l ɻ/ are ‘clear_’ having a palatalized quality with a raised second formant in adjacent vowels_ whereas /r ɭ/ are ‘dark’ and lack palatalization. For example_ Asher & Kumari (1997: 418) report that the tap /ɾ/ has a ‘distinct palatal resonance’; similarly_ Jiang (2010) labels the sound as /ɾj/. Though auditorily weak for our speaker_ the palatalized quality in /ɾ/ can be seen in Figure 4_ which shows /maɾam/ ‘tree’ versus /mara/ ‘covering’. The second formant in /a/ spectrograms of rises above 2000 Hz adjacent to /ɾ/_ but not adjacent to /r/. \\ Aside from its palatalized quality_ there is some debate as to the manner of articulation of /ɾ/. Ladefoged & Maddieson (1996: 222_ after Ladefoged_ Cochran & Disner 1997) say that some speakers produce /ɾ/ as a trill that is slightly more advanced than /r/. However_ our speaker consistently produces /ɾ/ as a tap. In contrast_ /r/ is often very short and accompanied by frication_ phonetically [ɾ̝] or [r̝] ,The place and manner of the retroflex central approximant /ɻ/ has been subject to much debate. Kumari (1972: 27–28) calls it a ‘voiced retroflex palatal fricativised lateral’_ whereas Asher & Kumari (1997: 419) call it a ‘voiced sublamino-palatal approximant’. Because it has been reported to have frication (Kumari 1972)_ the sound is traditionally symbolized as /ʐ/ (Asher & Kumari 1997_ Punnoose et al. 2013)_ but in our data this sound is always an approximant. Indeed_ in an ultrasound study_ Scobbie et al. (2013) found that /ɻ/ is a retroflex approximant with an advanced tongue root and raised tongue body_ as well as a lateral release. Punnoose et al. (2013) transcribe the sound narrowly as advanced and palatalized [”± j ]. This phonetic transcription accords well with the recordings in our illustration: /ɻ/ has a palatalized quality (a raising of the second formant) similar to that found for the /ɾ/ (see Figure 4). \\ The labiodental approximant /ʋ/ may be realized as [ʋ]_ [v]_ [w]_ or [B̞ ] (Asher & Kumari 1997).
N,Mambay,mamb1299,2006,voiced flap retroflex ɽ (r ?: might be a tap),ɽ r,"Transcription
& Orthographic version",unknown,yes,presence of symbol of the alveolar trill and many diacritics,ɽ,14,NA,0,NA,55,,1,normal usage of r,labial flap (interresting but not related to r-like sounds) \\ In rapid speech_ /g/ usually softens to a velar fricative [ G ] after front vowels and to a uvular fricative [Â] after back and central vowels.,Presence of ʢ : aryepiglottic trill
N,Mapudungun,mapu1245,2013,retroflex fricative (in orthograhic convention : r) ɻ ʐ ʂ ɭ,ʐ  ɻ ,Broad & Narrow & Orthographic,both,,,ʐ,0,0,0,0,18,,1,r can be used for retroflexion when consonant before,The voiced retroflex continuant /ʐ / can be realized as either a fricative [ʐ ] or an approximant [ɻ] in all positions; we have opted to classify it as the former (against the traditional interpretation) as this is the predominant variant in our sample. Palatographic evidence (not shown) indicates that /ʐ / is apical rather than sub-apical. In post-nuclear position_ /ʐ / may be devoiced to [ʂ] (/ʈ͡ ʂʊˈkʊʐ/ ‘fog’ > [ʈ͡ ʂʊ̝ ˈ kʊʂ]). In three of the nine speakers in our sample_ /ʐ / is most frequently a retroflex lateral [ɭ] (/ˈmɐ̝ ʐ ɐ̝ / ‘hare’ > [ˈmɐ̝ ɭɜ]).,
N,Mavea,mafe1237,2009,voiced alveolar trill,r,"Phonetic transcription
& Phonemic transcription &Orthographic version",both,,,r,36,36,0,0,36,,1,normal usage of r,phonemic inventory based on a 1970 word list… NO ! Don’t do that ! Update with theira data… \\ The phoneme /r/ has two allophones_ namely the trill [r] and the tap [ɾ]. The allophones appear in free variation.,Contrast between singleton trill and geminate trill( no contrast in their sound files data)  → might be a contrast between tap and trill
N,Mennonite Plautdietsch (Canadian Old Colony),plau1238,2013,voiced trill alveolar ɹ  ɾ,ɾ ,Transcription of recorded passage & Original orthography & Sass orthography,unknown,yes,presence of the tap symbol,r,0,NA,4,NA,4,taps are used,1,normal usage of r,Allophonic variation is reported between an alveolar trill [r]_ an alveolar tap [ɾ]_ and a retroflex approximant [ɹ] for /r/ in some varieties of Mennonite Plautdietsch_ with the trill and tap occurring in free variation and the retroflex allophone only appearing in non-intervocalic coda position. This variation was first noted for speakers of Mennonite Plautdietsch in Mexico by Moelleken (1966_ 1993)_ who argues on the basis of comparative research on contemporary non-Mennonite varieties of Plautdietsch that the retroflex approximant is not a recent innovation prompted by contact with English. Given the historical relationship between the Mennonite Plautdietsch speech communities in Mexico and their source communities in Canada_ it is not surprising to find such variation attested in the Canadian Old Colony Mennonite Plautdietsch represented in the speech of the speaker described here (e.g. Däaren [de.əɹn] ‘doors’_ foahren [fo.əɹn] ‘to drive’_ Korn /kɔɹn/ ‘corn_ maize’). ,The [ɹ] allophone is reportedly a sociolinguistically-marked variant associated with this particular variety and is subject to commentary by other Mennonite Plautdietsch speakers in Saskatchewan (Jake Buhler_ p.c.). \\ THE TAP SHOULD BE THE SYMBOL USED !
N,Mono,mono1270,2004,voiced trill and flap alveolar,r rː,Transcription of recorded passage & Orthographic version,unknown,yes,presence of the geminate of the alveolar trill,r,9,NA,0,NA,9,one of the r is a long one with lengthening diacritic,1,the long r is the orthography is represented with three r <rrr>,might be a tap,
N,Mono Lake Northern Paiute,nort2954,2012,voiceless alveopalatal fricative signleton and gemintate,ɕ ɾ,Community orthography & Phonemic transcription & Phonetic transcription,both,,,ɕ   & ɕɕ,0,0,5,0,0,there are taps but as allophones of plosives,0,,The lenis plosives have a shorter closure duration and trend toward shorter aspiration duration. In running speech_ they often surface as voiced fricatives_ [β] or [ɣ]_ in the case of bilabial and velar plosives_ or as a voiced tap_ [ɾ]_ in the case of alveolar plosives.,
N,Munji,munj1244,2017,voiced flap alveolar ɾ ɽ,ɾ,Phonetic transcription & Orthographic transcription,phonetic,,,ɾ,1,NA,33,NA,34,,NA,Arabic writting so cannot say,The phoneme /ɾ/ is pronounced as [ɽ] when it occurs directly before a /t/ or /d/ (/luɾd/ [luɽt] ‘run away.pst.3sg’),
N,Murcian Spanish,murc1238,2015,voiced flap alveolar & voiced alveolar trill,ɾ r,El viento norte y el sol ‘The North Wind and the Sun’ & El viento norte y el sol: Orthographic version (Standard Spanish),unknown,yes,presence of approximants for the plosive set,ɾ & r,4,NA,29,NA,33,the  count is based on the orthography (so it includes trills and taps),1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,Spirantization_ however_ is systematic when /s/ is replaced by [ɾ]_ a phenomenon restricted socially to a working-class_ older-generation_ rural type of speech. This substitution of [s] by [ɾ] occurs before nasals as well. In general_ the replacement of /s/ by [ɾ] is disapproved of by the local population_ who judge it to be typical of a very marked local accent. \\ Although frowned upon by speakers using a more refined variety_ the replacement of /l/ by /ɾ/ in coda position is another distinguishing characteristic of Murcian speech_ also found in other Southern Spanish accents (Andalusian_ Canario and Extremeño according to Garc ıa-Mouton 1994: 35). As a result_ pronunciations like [ˈaɾɣo] for [ˈalɣo] algo ‘something’ and [ˈaɾto] for [ˈalto] alto ‘high/tall’ are very commonly heard_ yielding instances of homophony (e.g. alto/harto [ˈaɾto] ‘tall’/‘fed up’_ caldo/cardo [ˈkaɾðo] ‘soup’/‘thistle’_ falda/farda [ˈfaɾða] ‘skirt’/‘(s)he boasts’).,Linked to this is the specific behaviour of syllable coda /ɾ/ followed by syllable onset /l/ acting as codas and heads of a syllable. One of the most noticeable characteristics of Murcian is the full assimilation of /ɾ/ to /l/_ so that words like Carlos ‘Charles’_ peinarla ‘to comb her’_ decir le ‘to tell him/her’_ por la calle ‘along the street’_ etc. are pronounced with double [l]_ e.g. [ˈkæl-lɔ]_ [peiˈnal-la]_ [dɛˈθil-le]_ [pɔl-la ˈkaʝe]_ respectively. Gemination can then be a regular feature of MuSp. The opposite phenomenon – the replacement of /l/ by /ɾ/ – is also common in colloquial Murcian_ e.g. está en el rı́o [ . . . ɛɾ-ˈr ıo] ‘in the river_ alrededor [æɾ-rɛð̞ ɛˈð̞ ɔ ] ‘around’_ el ramo [ . . . ɛɾ-ˈramo] ‘the branch’. This may happen not only in cases where /ɾ/ follows: /l/ may become /ɾ/ in front of any single consonant with the exception of /ɾ/ itself_ so it is not uncommon to hear expressions like [ɛɾ ˈsɔ] el sol ‘the sun’_ [ɛɾ ˈθumo] el zumo ‘the juice’_ [ɛɾ ˈkæmpo] el campo ‘the country’_ [ɛɾ ˈβ̞ jen̪ to] el viento ‘the wind’_ [ɛɾ ˈʧiko] el chico ‘the boy’_ etc.
N,Nara,nara1262,2002,voiced tap/trill alveolar r ɾ & postalveolar voiceless fricative,ɾ,Broad phonemic transcription & Orthographic version,phonemic,,,r & ɕ,NA,0,NA,6,6,,1,one and two r are possible,/r / does not occur word-initially in native Nara words_ though it is extremely common both in onset and in coda position word-internally,/r/ is generally pronounced as a tap_ viz. [ ɾ ]. Geminate /r / is always a trill.
N,Nen,nenn1238,2016,trill voiced alveolar ,r,"Orthographic
 & Broad phonetic",phonetic,,,r,32,NA,0,NA,32,,1,normal usage of r,Spectrogram → real trills ? Different lenght of r,
N,Nepali,nepa1254,2009,tap or flap alveolar voiced ɾ r ,ɾ r  ɽ,Narrow phonetic transcription & Orthographic version,phonetic,,,r,2,NA,31,NA,42,There are 9 retroflex tap,NA,devanagari script so cannot say,When preceded by a vowel_ a voiced retroflex is produced as a retroflex flap [ɽ] (see figure 1 for the two allophones of voiced retroflex /ɖ/). The retroflex stop articulation [ɖ] is maintained in geminates (see an example in the section on gemination).,Nepali /r/ has been described as a tap [ɾ] in intervocalic position and as a trill [r] elsewhere (Pokharel 1989). In our data_ it is realized as a short (two- or three-tap) trill [r] or sometimes as a single tap [ɾ] at the beginning of the word_ but as a single tap or flap when intervocalic or at the end of the word. These differences may reflect inter-speaker variation. We take the word-initial trill variant [r] as the basic variant of this phoneme_ consistent with our practice elsewhere_ but it should be kept in mind that the Nepali trills are weaker than Spanish or Italian trills. Geminate /r/ is fully trilled and_ in this case_ the trill is quite strong.
N,New Zealand English,newz1240,2007,voiced approximant alveolar,ɹ r,The reading passage & The transcription,unknown,yes,presence of a alveolar trill symbol,ɹ,1,NA,0,NA,31,the count is based on the r in the orthographic transcription version,1,normal usage of r (but double can r can exist),/ɹ/ is typically an approximant_ with [ʋ] an extremely rare alternative. It is a fricative following /t/ or /d/_ and may be a tap following /θ/.,
N,Northwest Sahaptin,yaki1237,2014,voiceless fricarive uvular & voiceless fricative labialised uvular & (voiced approximant uvular),χ,Transcription [] & Orthography,phonetic,,,χ & χʷ & (ʁ),0,NA,0,NA,0,,1,normal usage of r (but it seems to a marginal letter because of the marginal status of the phoneme),/ʁ/ has been found in only one morpheme_ shown in 2.1. This sound has not been listed in any previous consonant inventory of Sahaptin. [ʔaˈqʁu] akrú ‘dad’ (baby talk) (they use the r in orthographic convention),
N,Nuosu Yi,sich1238,2017,voice and voiceless alveopalatal fricative,ɕ ɺ ,Semi-narrow phonetic transcription & Phonemic forms,both,,,ɕ & ʑ,0,0,0,0,0,,NA,chinese writting so cannot say,Laryngeally tense syllables exert an effect on the CV string_ particularly on vowel quality_ but also_ for example_ /x/ realized as [X].,The lateral flap [ɺ] is a function of fast speech.
N,Nuuchahnulth,nuuc1236,2001,voiceless fricarive uvular & voiceless fricative labialised uvular,,Transcription of recorded passage & Orthographic version,unknown,no,,χ & χʷ,0,NA,0,NA,0,,0,,The two pharyngeals_ /ħ/ and /ʕ/_ are pervasive in the morphemes of the language. This is due in part to their historical development. /ħ/ developed from the merger of /χ/ and /χʷ/; /ʕ/ from /q'/ and /qʷ'/. The result is a large set of root and suffix morphemes containing pharyngeals. The earlier sounds /q'_ qʷ'/ are now absent; and /χ/ and especially /χʷ/ are comparatively rare.,
N,Palula,phal1254,2009,dental flap voiced & retroflex flap voiced & voice and voiceless palatal fricatice,ɾ  ɕ   ɽ ,"Broad transcription
& Narrow transcription
& Orthographic version ",both,,,ɾ &  ɽ &   ɕ & ʑ,0,0,13,13,17,count from the broad (incliding alveolar and reflorx flap),NA,Arabic writting so cannot say,no alveolar as place of articulation : Many of the dental consonants are interdental. The dental plosives_ for instance_ are pronounced with the tip of the tongue touching the lower as well as the upper teeth_ and the dental fricatives and affricates are produced with the tip of the tongue against the lower teeth_ whereas the flap /|/ is produced at the alveolar ridge very close to the upper teeth.,
N,Pitjantjatjara,pitj1243,2014,rhotic (trill/tap) apical alveolar voiced ɹ & rhotic apical postalveolar voiced,ɻ r ,Pitjantjatjara & Phonemic transcription,phonemic,,,r & ɻ,NA,9,NA,0,9,23 if we include the retroflex,1,there are two kind of r_ one normal and one underlined (which is for retroflexion),Postalveolar → retroflex \\In the case of the alveolars_ since a single tap is also the most common realisation of the so-called trill_ the two phonological categories /t/  /r/ may become indistinguishable from one another. In addition_ /r/ may be realised as an approximant in rapid speech_ leading to potential confusion for non-native listeners. The word iriti ‘long ago'_ for example_ is often pronounced as [ˈIɻIɾI]_ hereby neutralising the paradigmatic /ɻ/  /r/ contrast (whilst effectively preserving the /t/  /r/ contrast within the word). This realisation of /r/ as [ɹ] or even [ə] is also very common before a following stop_ especially in unstressed syllables – e.g. nyurka-nyurka ‘skinny' may be pronounced as [ˈɲʊɾkɐɲʊə̆ ɡɐ] 4 (compare the disappearance of non-prevocalic /r/ from the non-rhotic accents of English and German). ,there is also a rhotic contrast that is phonologically considered to parallel the apical contrast between alveolars and postalveolars (e.g. on the basis of distribution within the word): for the rhotics_ the trill/tap /r/ is alveolar_ and the continuant /ɻ/ is post-alveolar. \\ Pitjantjatjara syllable structure is (C)V(C)_ with the coda consonant restricted to nasals_ laterals_ and the trill/tap /r/.
N,Polish,poli1260,2003,voiced alveolar flap/trill & voice and voiceless alveopalatal fricative,r ɕ ,Transcript & Orthographic version,unknown,no,,r &ɕ & ʑ,13,NA,0,NA,13,count originally based on the orthogrpahy but better maybe to just count on the transcription because of the fricatives (if on orthography 19 rhotics and 6 omision),1,normal usage of r,Should be labelled with TAP ,
N,Russian,russ1263,2015,voiced alveolar trill & voiced alveolar palatalised trill,r rʲ ɾʲ rʷ,"Broad transcription
& Narrow transcription & Orthographic version & Transliteration",both,,,r & rʲ,17,20,3,0,20,they use r with palatalization in a narrow transcription but there are three taps palatalized…,1,cyrilic writting but there is a transliteration,This illustration is thus representative of the younger pronunciation norm that has emerged in the past 30–40 years as opposed to the accounts of Russian phonetics found_ for instance_ in Jones & Ward (1969) and Avanesov (1972).,/r/ is an alveolar trill in careful pronunciation_ but its palatalised counterpart /rʲ/ is usually realised as a tap [ɾʲ]
N,Salasaca Quichua,sala1284,2008,voiced alveolar tap ɾ r,ɾ,Transcription of the recorded passage,unknown,no,,ɾ,0,NA,36,NA,36,,NA,the langage doesn’t seem to be written,The tap tends to become a trill and slightly assibilated at the beginning of a word: /ɾiŋɾiŋ/ [riŋriŋ] ‘ear’. It also becomes such at the beginning of the second syllable of the preceding example.,the trill in ear is not trilled
N,Sandawe,sand1273,2006,voiced alveolar tap & voiceless velar/uvular fricative,χ ɾ,Transcription of recorded passage & Orthographic version,unknown,no,,ɾ & χ,0,NA,4,NA,4,don’t know if the gloss is phonemic or not…,1,normal usage of r,,
N,Seri,seri1257,2005,voiced alveolar tap &  voiceless uvular fricative & voiceless uvular labialised fricative,χ,"Transcription of the recorded passage (phonetic)
& Orthographic version",phonetic,,,ɾ &  χ  & χʷ,0,NA,0,NA,0,,NA,No r in the narrative so cannot say,Tap in a few loanwords,
N,Setswana (South African),tswa1253,2016,voiced alveolar (apical) trill & voiceless uvular fricative χ ʀ̥ h x ,χ r,Broad phonetic transcription & Orthographic version,phonetic,,,r &χ,7,NA,0,NA,7,there are 7 rhotics per speaker so 7 in total and there are almost all trilled,1,normal usage of r (maybe double rr but not sure since it is said that there is a double trill),Based on a lot of old descritpions… \\ The phoneme given here as /χ/ normally varies in articulation between a uvular fricative [χ] and a voiceless uvular trill [ʀ̥] _ though some tokens (especially in connected speech) are closer to [x] or are reduced to [h]. An example of the trilled articulation in the word /nɔ̀χà / ‘snake’ is illustrated in Figure 1. Four periodic lines (which do not match the period of glottal pulses) are clearly distinguishable in the spectrogram during the word-medial /χ/_ marked with dashed lines. These correspond to three distinct peaks in the waveform_ indicating three separate contacts with the uvula – i.e. a trilled articulation. Most previous descriptions (generally based on other varieties of Setswana) describe the phoneme /χ/ as a velar fricative /x/ rather than uvular (Doke 1954_ Cole 1955_ IPA 2010_ Gouskova_ Zsiga & Tlale Boyer 2011). It is cognate with aspirated velar stops in related languages (compare /áχà / ‘build’ with Xhosa /akʰa/). While occasional tokens of /χ/ do sound close to velar [x]_ the normal realization sounds distinctly post-velar in our data. In post-nasal context_ /χ/ hardens to the uvular affricate /qχ/ (e.g. [χá] ‘fetch water’ > [ŋ̀ qʀ̥ ɔ] ‘water pot’).,The trill /r/ normally has 2–3 taps (see section on doubled consonants below for further discussion).  While the singleton trill [r] normally involves 2–3 contacts_ the doubled trills involve 6–8 contacts (rather than 4–6).
N,Shanghai Chinese,nanj1234,2015,voice and voiceless alveopalatal fricative,ɕ,Phonemic transcription & Orthographic version ,phonemic,,,ɕ & ʑ,NA,0,NA,0,0,,NA,chinese writting so cannot say,,
N,Shilluk,shil1265,2011,voiced alveolar trill,r,Shilluk orthography & Phonemic transcription,phonemic,,,r,NA,6,NA,0,6,,1,normal usage of r,coda /r/ may be elided completely,may be a tap (no justification) \\ influence form the orthography ?
N,Shipibo,ship1255,2001,voiced approximant retroflex ɹ̠ ʐ  ɽ ɻ,ʐ  ɽ ɻ,Broad phonetic transcription & Orthographic version,phonetic,,,r,6,NA,0,NA,34,count based on the orthogrpahy,1,normal usage of r,The symbol /r/_ chosen for its simplicity_ also represents a highly variable segment. A common intervocalic variant is [ɹ̠]_ sometimes with a sufficiently close constriction to generate some frication or to become definitely a fricative suggestive of [ʐ]. /r/ may also be pronounced as a post-alveolar  flap. On occasion_especially as onset to a stressed syllable_ it is pronounced with pre-stopping_ forming an affricate [d̠z̠]_ or a pre-stopped approximant [d̠r̠]. In the transcribed passage below_ IPA symbols for 'retroflex' consonants_ [ɻ_ɽ_ʐ] have been used to represent the approximant_  ̄ap and fricative variants.,
N,Shiwilu (Jebero),jebe1250,2013,voiced alveolar trill ɾ r & voiced glottolised trill ɾ.ʔ   ɾ d t,r,Phonemic transcription,phonemic,,,r & ʔr ,NA,16,NA,0,16,,NA,seems that there is no writting system,/r/ and /Ɂr/ are contrastive inside the word and word-finally. However_ word-finally_ the glottalization is variably lost. For instance_ the imperative marker /(k)ɘɁr/_ as occurring in /ˈpaɁ.kɘɁr/ ‘Go!’_ /tu.ˈpi.tɘɁr / ‘Follow him!’_ /ˈu.kɘɁr / ‘Drink!’_ frequently appears as /(k)ɘr/. In word-final position_ the contrast can usually only be ascertained after suffixation. A word-internal contrast is illustrated by /ˈmɘr.pi/ ‘belly’ versus /ˈmɘɁr.pi/ ‘ripe’_ while /wɘ.ˈran/ ‘having stung.3 SG ’ versus /wɘɁr.ˈan/ ‘having got lost.3SG ’_ both containing the 3 SG participle suffix /an/_ and /ˈkɘr.ʎi/ ‘he brought’ versus /ˈkɘɁr.ʎi/ ‘it is black’_ both containing the 3 SG suffix /ʎi(n)/_ illustrate a morpheme-final contrast before a vowel and a consonant_ respectively. Glottalized /Ɂr/ is a tap accompanied by a glottal closure. ,Preceding a word-internal consonant or_ when it is present_ word-finally_ the glottal closure is initiated during the tap_ creating creaky voice and often reaching full closure terminating the consonant. Intervocalic /Ɂr/ is post-glottalized as [r.ʔ]_ as in /wɘɁr.ˈan/ [wɘr.ˈʔan] ‘having got lost.3 SG ’_ /kwɘɁr.ˈa.pa.lɘk/ [kwɘr.ˈʔa.pa.lɘk] ‘I am (currently) heavy’_ /kwɘ Ɂ r/ ‘heavy’ + /iɁn/ ‘not’ + /ʎi/ ‘3 SG ’ [kwɘr.ˈɁiɁ.ɲiɁ] ‘it’s not heavy’. (On /ɲi/ as the pronunciation of /ʎi/ see section ‘Other processes’.) This is parallel to word-final /k/_ as in [u.ˈkɘk.Ɂa.pa.ʎi] ‘the blood on him stinks’_ mentioned under Plosives above. Before consonants_ particularly /ʎ/_ /Ɂr/ may be realized as [d] or [t]_ as in [nuˈkɘdʎi] /nu.ˈkɘ Ɂ r.ʎi/ ‘I’m cold’. This also applies to /ˈkɘɁr.ʎi/ ‘it is black’_ mentioned above. The unglottalized /r/ is an alveolar tap in the onset and an alveolar trill in the coda. \\ No trill
N,Slovak,slov1269,2010,voiced alveolar trill ɾ & voiced alveolar geminate trill,r  (→ ɾ),Transcription of recorded passage & Orthographic version,unknown,yes,presence of the syllabic diacritic for the alveolar trill, r & rː,11,NA,0,NA,11,,1,normal usage of r,The long lateral and the long trill are often considered to be allophones of /l/ and /r/_ respectively (see e.g. Ďurovič 1975; Short 1993_ 2000) because there are no minimal pairs for /lː/ and /l/ or /rː/ and /r/. However_ the two pairs are not in complementary distribution: the long lateral and the long rhotic can only occur in the syllable nucleus_ their short counterparts in the nucleus and elsewhere. For this reason we follow Bujalka_ Bal až ⁄ & R yzkov a ⁄ (1996: 42) in considering all four sounds phonemes. Short /r/ is in the majority of the cases realized as a tap [ɾ] (Isačenko 1968: 185; Pavl ık ⁄ 2004)_ but some instances show two closure phases.,
N,Southeastern Pashayi,pash1270,2013,voiced tap or flap alveolar ɾ & voiced tap or flap retroflex  ɽ  ɻ,ɾ ɽ,Transcription of recorded passage & Orthographic versions,unknown,yes,presence of alveolar tap symbols,r & ɽ,0,NA,22,NA,30,we count both retroflex 8 and alveolar rhotics here,NA,Arabic writting so cannot say,The alveolar trill is generally realized as [ɾ] intervocalically_ as in [wɑɾekh] ‘to cry’_ or ‘apple’ and ‘to wink’ in the list above. The retroflex flap /ɽ/ is variably realized as the retroflex approximant [ɻ] in word-final position.,
